Chr,ahya_10k,aken_10k,aspat_10k,ahya_1k,aken_1k,aspat_1k,ahya_20k,aken_20k,aspat_20k,ahya_2k,aken_2k,aspat_2k,ahya_500,aken_500,aspat_500,ahya_5k,aken_5k,aspat_5k,informative_sites
uce-115670,14939,5205,13313,2143,829,2159,21758,16080,20368,3929,1223,4159,1157,539,1159,8032,3753,8162,1017
uce-115683,15354,11084,17033,2148,1621,2159,15134,7834,16401,4146,3412,4159,1148,760,1159,10143,8137,10155,1468
uce-115690,18788,7836,18402,2032,936,2037,33366,14993,34732,3608,1680,3947,1071,674,1110,9198,4274,9112,878
uce-1157,18465,6957,18415,2123,1047,2085,34867,11477,33086,4146,1833,4028,1155,460,1159,9492,4441,9524,1942
uce-115705,16803,8053,17529,1988,1080,1960,17073,13480,17026,3079,2122,3975,662,477,867,9070,4001,10031,768
uce-115710,11130,8464,16437,2158,2081,2159,24418,12979,34129,3223,2940,4017,1155,1118,1159,6525,5513,8824,634
uce-115722,16949,7292,17951,1748,1075,1756,34754,11041,35711,3703,2970,3692,768,502,731,8418,5127,9072,1880
uce-115743,16717,4625,18515,1734,1185,1761,33878,11742,36300,2964,2654,3035,905,676,949,7721,3401,8436,930
uce-115765,17462,5938,18641,2143,1006,2106,24521,12317,29416,4035,1386,4055,1132,1006,1083,9457,3034,9728,684
uce-115770,18272,8140,19565,2081,1693,2144,34814,12693,37564,3702,2514,3848,1159,997,1142,9289,4647,10107,1352
uce-115771,19775,6349,19762,2147,1530,2159,35170,13413,36456,4146,2032,3945,1159,1152,1159,10037,3010,10141,700
uce-115779,13256,9178,18930,2024,1208,2029,30413,20369,35917,2983,1497,3882,1048,451,1037,6745,3614,9354,1500
uce-115782,18164,10138,17505,2124,1308,2110,32886,16411,31859,3885,2734,3554,1159,680,1159,9815,5583,8518,642
uce-115789,4721,3386,6152,2156,1544,2044,4775,803,5759,4149,3070,3043,1139,947,1122,4415,2798,5980,643
uce-115835,17596,6695,19580,2124,1171,2149,34032,13936,34436,3253,1510,4010,1140,506,1152,7341,2512,9927,871
uce-115841,13237,5345,13974,1761,1008,2035,11311,3064,13341,2953,2010,3763,1152,548,1155,7871,4234,8444,1583
uce-115942,18641,10408,18420,1979,939,2000,32017,13809,31641,3911,2259,3967,797,536,1112,9802,5748,9710,768
uce-115944,17186,7143,18625,2011,1187,1693,15951,10069,18364,3897,2150,3556,841,838,984,8598,3798,9356,684
uce-115991,16847,5430,18878,1653,1108,2149,21970,3972,20904,3012,1646,4106,1034,686,1130,7970,2652,10004,1441
uce-116006,13625,6393,15430,1626,1104,1633,17739,6164,18313,3797,2501,2845,656,709,884,7176,4332,7906,1207
uce-116012,16581,6049,19406,1505,1461,1542,29034,13194,30802,3037,2636,3490,982,757,1045,9532,4283,9948,1978
uce-116035,19677,8446,19614,2158,1965,2152,26447,13529,32981,4054,3308,4076,1158,1137,1159,9663,6945,9735,978
uce-116073,7199,4564,9406,1801,993,1849,7686,3636,10457,3793,2429,3849,803,792,833,7328,3770,8144,1461
uce-116085,4608,533,4697,2078,1132,2009,4608,1250,4740,4087,2428,3927,1082,567,1009,4518,1330,4731,626
uce-116114,11911,6893,11352,2101,1496,2108,11540,2780,11593,4032,2749,4132,1146,838,1146,9490,5783,8358,1005
uce-116117,12696,5527,12228,2155,660,2158,12208,5311,12126,4146,1270,4154,1080,506,1159,10061,3319,9656,1366
uce-116123,5122,1727,11385,2134,1516,2158,4861,3613,10482,3558,3175,3954,1159,793,1142,4263,2921,9965,495
uce-116148,17677,7475,17342,1919,1580,2007,31109,11835,33170,3776,2914,4034,1122,899,1149,9089,5549,9015,953
uce-116162,16065,8829,14567,1976,943,1812,22189,13515,23429,3973,2249,3791,973,610,962,9877,5488,9713,1108
uce-116164,13230,8091,19195,1602,1209,1748,29947,12397,36264,3508,2659,4119,830,935,838,8175,5610,10111,2222
uce-116196,15454,10375,13983,2105,1462,2115,15180,9312,13769,3514,3165,3854,1159,981,1150,9376,8060,9457,852
uce-116227,2585,1263,2578,2036,1740,1922,2750,2189,2623,2422,1527,2409,993,1074,951,2573,1488,2540,904
uce-116230,17317,9291,17462,1903,1828,1863,27024,14264,25437,3691,2948,3623,883,932,926,9646,4702,9699,1194
uce-116233,18483,9590,19395,2158,717,2159,35671,15332,37146,4096,1363,4078,1155,490,1149,9779,3468,10010,1621
uce-116250,18108,6787,18238,2152,1445,2159,33800,13547,32785,3881,2226,3864,1152,819,1159,9787,3145,9184,885
uce-116267,17578,12670,16430,2147,1930,2155,31956,20546,31614,4149,3371,4127,1155,1156,1157,8669,7911,9287,1840
uce-116268,3774,2134,3416,1958,1766,2074,2999,2115,3538,2980,2684,3823,1077,938,1062,3569,1006,3325,993
uce-116278,16466,8179,17663,1982,1747,2071,32241,12108,34755,3400,3394,3469,1124,827,1155,8395,5586,8770,2766
uce-116279,19032,3650,19842,1992,593,1979,37649,9078,38935,4006,1039,4115,1114,465,1117,9272,1540,9956,2748
uce-116292,16703,4832,12446,2008,788,1994,13667,7274,17305,3694,1344,3617,1156,656,995,9186,3193,7485,1020
uce-1165,18789,8075,15430,2137,1285,2142,32510,13213,29117,3687,2760,3407,1159,777,1159,8750,7361,7484,712
uce-11660,19111,7588,19545,2109,958,2143,23837,9430,23982,3915,2005,4010,1142,609,1145,9762,4895,10036,1554
uce-11661,17323,5139,17419,2159,754,2159,30234,9050,33162,4158,793,4159,1159,463,1159,9836,2303,9959,657
uce-1168,17345,7851,18216,2146,1598,2159,32596,15956,34145,4100,2563,4108,1147,914,1159,9080,5867,9725,501
uce-11696,15388,8462,18102,1922,1810,1734,30802,19226,30704,4061,2928,3921,1123,932,1132,7077,6612,9849,775
uce-11716,7619,2866,7358,2134,771,2131,7576,4159,7973,3889,2142,3850,1157,623,1159,7582,2606,6924,1186
uce-11732,7091,5672,5851,2122,1896,1782,5310,3511,4648,3822,3307,2937,1139,1095,1140,8384,6582,6361,699
uce-11740,12494,6771,14189,2138,1763,1397,5564,5409,10154,4158,2571,3282,1158,850,831,9483,4673,8504,1393
uce-11753,13376,6870,12173,2116,2086,2136,8030,8146,11385,3848,3518,3918,1159,1133,1159,10018,6370,10149,573
uce-11768,12104,4871,10214,2140,1016,2148,8161,3056,6772,4141,1567,3883,1159,527,1154,9764,3616,9625,689
uce-11779,18276,6064,17756,2022,827,2072,35378,12556,35080,3772,1006,3821,970,613,1159,9691,2575,9557,820
uce-11781,18280,5945,16582,2088,957,2069,33881,9038,32748,4142,1981,4082,1159,520,1159,9799,3788,8921,1622
uce-11795,18842,8474,18116,2158,1495,2119,37107,14206,36641,4039,2809,3646,1159,541,1159,10037,6230,9145,1419
uce-11883,17458,9852,17961,2038,2044,2079,26609,14479,26796,3803,3447,3898,1081,1147,1081,9109,6361,9327,1789
uce-11884,13036,7856,13523,2156,1065,1989,25829,13953,25231,3696,1937,3221,1158,590,1157,8424,4456,8105,952
uce-11890,17213,7763,17933,2126,1509,2076,30632,12572,31328,4133,2149,4103,1070,993,1067,10094,3204,10135,1595
uce-11897,17964,11686,18469,1990,1786,2143,21223,13488,21370,3521,2669,4124,1149,1079,1151,9041,5725,10049,1263
uce-11920,14323,6449,18698,2158,1089,2159,19074,7597,20519,4028,1457,4086,1159,993,1159,9687,3287,9441,1860
uce-11924,18638,6584,17461,2159,863,2159,36498,14884,35638,4158,1009,4159,1149,478,1149,9254,1993,9274,983
uce-11927,20158,4117,20159,2159,1097,2159,32085,7869,29631,4159,1403,4159,1159,526,1159,10159,2728,10159,523
uce-11942,17281,8245,19223,1374,1616,1793,27922,14209,38080,3385,2103,3805,873,934,1012,8485,4588,9788,1224
uce-2025,13824,5670,12715,1685,1426,1658,15756,5630,13101,3741,1902,3663,986,455,960,8412,4731,8885,984
uce-2054,16728,10265,16964,2153,801,2132,31816,20680,34501,3862,1621,4086,1256,535,1263,9067,5456,8909,695
uce-2082,12958,8666,17582,2069,1046,2097,27673,14817,30849,3675,2387,4018,1044,483,1029,9324,4678,9969,1085
uce-2089,19194,8226,19755,1465,1023,1717,30663,11144,26633,3891,2335,3782,778,698,1080,9806,5303,9762,635
uce-2119,10877,7047,16627,1341,1238,1263,26458,13782,30317,2444,1725,2838,834,751,748,7256,4927,8030,640
uce-2141,15213,8569,16869,1664,1236,1694,26726,14161,33886,3834,2176,3454,985,630,799,8251,4991,8286,947
uce-2142,14785,11039,17032,2079,1663,2085,28056,17807,28842,4055,2210,3933,1098,965,1103,8205,5881,8993,1372
uce-2206,18669,10024,18678,2097,2078,2101,34599,15548,35714,4086,3648,4100,1091,1062,1100,9929,6536,9893,1695
uce-2216,14649,8935,16822,1629,1254,1870,30438,15664,31373,3181,2010,3099,1128,930,1031,7795,4306,8310,1938
uce-2258,16981,6788,17086,1871,1121,1369,24630,10554,25963,3888,1807,3721,1103,477,747,9879,4252,9157,2189
uce-2267,17562,5383,18691,2087,1089,2095,24100,12434,34757,3411,1762,4022,1141,934,1128,9154,3203,9777,989
uce-2281,16856,9847,18087,1459,1550,1868,33049,16233,33810,3009,2653,3725,1158,917,1159,8851,5403,9370,1574
uce-2293,14253,9537,15394,1413,1280,1413,25972,16223,25195,3463,2606,3294,823,743,825,7407,5180,8032,958
uce-2361,17665,8997,17959,2095,1573,2045,12167,6998,12394,3735,2665,3421,1085,625,1096,9078,5159,9292,2099
uce-2364,18287,8377,19322,2093,1618,2098,36126,12272,33488,3884,2918,4018,1094,898,1098,9671,5539,9862,4092
uce-2396,17162,10223,17262,2073,1373,1976,31171,15420,26409,3950,2552,3575,885,745,917,9165,5868,9279,2254
uce-2429,15170,5525,13609,2113,976,2159,8594,3707,9592,3996,2110,3545,1070,599,1123,9721,4079,8948,1367
uce-2476,10972,7823,18553,1550,1468,1961,27719,14966,31856,2945,2498,4091,822,736,900,5707,5595,10006,846
uce-2494,18148,7614,14394,2157,1130,2002,20490,6735,17852,3483,1481,3351,1146,968,1145,9961,2426,8558,2002
uce-2514,14186,6552,11532,1906,757,1897,13391,8503,11920,3383,1295,3477,937,452,977,9225,3328,9410,1430
uce-2528,17345,5938,18529,2238,1682,2242,20575,5524,17576,3962,2208,4064,1239,1092,1242,9658,4205,9835,822
uce-2538,17060,7766,15578,1873,1529,1852,24134,6680,18649,3577,3093,3235,1113,895,1018,7967,5370,7770,814
uce-2551,17877,8241,19224,1895,892,1902,35139,17200,37248,4084,1472,3990,998,569,991,8661,3252,9802,2392
uce-2592,16375,9797,17019,1819,1023,2079,23458,13552,14173,3667,2476,4057,810,732,1008,9333,5601,9623,1101
uce-2597,17247,5315,16570,1717,1297,1964,32694,9950,31221,3405,1664,3357,812,594,816,8244,2303,7981,788
uce-2656,14875,5223,14587,1671,867,2014,11905,12415,22698,3768,1770,3620,1095,628,1012,9442,3359,9633,2163
uce-2666,18269,8138,17268,2111,1502,1750,37334,16030,36232,3592,2423,2389,1118,713,992,9406,3323,8515,2828
uce-2699,16381,4869,12787,1880,1152,1883,31708,8791,26648,3334,1913,3669,1038,462,1038,7972,3781,7398,938
uce-2700,17618,6433,18632,2063,739,2064,29056,9369,30664,3940,1979,4066,1106,508,1104,9126,4781,9663,1099
uce-2702,10109,4312,8508,2103,1653,2088,10199,4618,6899,3663,2744,3606,1088,848,895,8878,5429,8903,1384
uce-2712,18167,10047,17607,2113,816,2114,29942,17907,33134,4048,1663,4114,1113,561,1114,9828,3876,9601,890
uce-2770,3067,3753,5108,2108,871,1953,2004,3724,1401,4160,1133,3991,1022,553,951,5009,2719,4859,1465
uce-2775,16424,7709,16589,1828,1160,1753,32241,16742,32425,3488,2355,2868,1052,571,998,8320,4535,7556,1480
uce-278,8997,3437,10382,2100,1147,2084,8063,1291,6049,3666,1603,3884,1132,811,1132,9069,2919,7211,895
uce-2783,16055,10960,17483,1468,1193,1603,32031,16839,35346,3721,1790,3629,784,817,717,9149,4666,9045,1302
uce-28,9070,5563,4582,1957,1296,2146,7155,6690,4638,2833,2451,3879,1157,699,1084,6711,5899,4291,647
uce-2846,17181,11021,19344,2011,1687,2013,34810,18915,35573,4094,2266,4100,1102,982,1101,9065,5857,9543,1305
uce-2848,17611,7003,17459,2150,1105,2155,31297,14619,28984,3876,1600,4059,1154,527,1155,9108,3058,8897,720
uce-2861,18366,4587,18534,2131,970,2131,29001,9746,33034,4111,1293,4117,1131,536,1131,10079,3086,10009,911
uce-288,16593,6516,17720,1437,1837,1639,30611,13411,32930,3255,3270,3588,868,923,816,8850,4468,8966,1068
uce-350,18717,4653,17397,1956,1317,1963,32343,13945,30226,4068,1822,3724,1245,628,1245,9575,3535,8912,552
uce-365,16868,8434,16910,1491,1137,1488,32191,14227,32057,2978,1919,2911,952,781,952,8712,2817,9040,664
uce-369,16995,6731,17287,1652,1056,1377,29517,12960,32836,3919,1909,3650,982,811,600,8620,3995,8347,1461
uce-374,17666,6362,18088,2104,696,2105,32815,9977,35691,3879,1525,4004,1157,499,1148,9281,2982,9554,737
uce-3911001,16852,6157,18373,2070,911,2110,30363,12122,31778,3892,1201,3927,1005,486,1106,8941,3426,9480,1563
uce-3911011,17697,6839,19037,2022,1243,2037,36496,8521,38391,4021,2034,4067,1111,496,1113,9573,3096,9406,1280
uce-3911017,3845,1482,4948,1603,1388,1519,4181,2856,3669,3684,2971,3086,791,533,752,5378,3189,5414,1299
uce-3911021,19139,7305,18285,1591,1731,1776,34983,14696,36129,3836,2865,3618,861,1016,806,9753,4623,9375,1308
uce-3911034,13322,6888,16971,1598,807,1497,21724,8040,23512,3310,1554,3242,863,520,861,6666,4120,7805,1831
uce-3911072,8320,4545,7980,2156,1270,2031,7966,2379,7916,4156,3063,4033,1159,693,1111,9214,4628,9147,814
uce-3911099,16015,9894,15480,2148,1571,2057,14992,6633,15064,4141,2958,3976,1147,864,1149,10033,6473,9777,632
uce-3911137,17933,9763,18692,1973,1603,2061,32889,14860,32980,3704,2623,3656,1099,763,1104,9020,5531,9659,1552
uce-3911143,5208,1445,4484,1365,1252,1659,6345,1417,5976,3315,2480,3885,755,623,760,3856,3177,5745,1475
uce-3911161,13200,6545,13606,1887,1619,1833,12698,5536,11238,3754,2441,3912,995,872,1013,8970,5125,9557,1035
uce-3911164,11596,6479,12539,2130,1237,2037,11458,6428,11116,3999,2641,3525,1126,850,1119,9192,5263,9530,807
uce-3911168,18594,7463,18670,1904,1295,2038,32800,12433,34910,3785,2711,3820,987,838,998,9506,5315,9444,877
uce-3911174,13975,6173,16877,2020,994,2106,15286,9694,19163,3157,1349,4068,980,693,996,8738,3366,9670,1391
uce-3911246,14378,6186,13398,1957,1381,1957,11668,5502,12934,4020,2123,4050,1085,819,1105,9296,4197,9763,2790
uce-3911250,16960,7114,17017,1105,903,1430,33757,12633,32843,2965,1733,3445,491,495,571,8634,4555,8402,1343
uce-3911271,15651,4249,16124,1751,1298,2100,31396,9559,30225,2913,1700,2981,1121,679,1117,7333,1744,8643,1118
uce-3911279,19791,10232,18833,2102,1981,2095,22253,12946,20095,4093,3236,4089,1104,1106,1095,9972,5817,8925,1452
uce-3911284,12290,7444,15924,1866,1073,1690,27158,12887,30846,2921,2281,2537,1105,741,1104,6112,4670,7844,1131
uce-3911301,18367,2339,18031,1694,751,2060,37075,5091,36919,3180,1289,4034,787,481,1019,9329,1656,9083,1472
uce-3911315,1918,967,2247,1700,927,1443,1696,701,1732,1755,1176,1672,1115,496,1137,1364,975,2253,881
uce-3911361,17922,4381,17766,1641,1074,1951,31652,9473,32069,3574,1776,4009,987,486,1159,8740,3528,9614,1440
uce-3911384,18042,8165,18893,2150,1007,2158,34247,13646,36011,4149,2014,4158,1157,628,1158,9554,4385,9755,1230
uce-39114,18071,6283,16772,2003,1337,1985,32751,11195,30527,3881,1947,4106,1013,987,1010,9311,3925,9201,1010
uce-3911409,6938,1770,6017,2119,1457,2085,7050,2249,7351,3650,2226,3959,1119,1013,1078,6759,2605,5188,1974
uce-391142,18827,3796,18577,2159,580,2159,34624,7238,34766,4159,679,4136,1159,511,1159,10118,2222,9823,1016
uce-3911490,15157,15547,14800,1898,2093,2119,15352,17550,18479,3907,4111,4096,895,1113,1119,9185,9062,7844,1992
uce-3911507,8453,7868,9606,1308,1814,1355,6971,2536,9710,3482,3442,3618,809,578,540,9632,8010,9537,1396
uce-3911522,4314,2107,6572,2028,461,1969,4233,3774,8978,3842,1008,4072,849,515,945,8414,2378,8660,767
uce-3911526,18949,6748,18990,1929,1025,2092,31798,11894,34190,4143,1814,4141,973,698,1144,9320,5331,9242,464
uce-3911528,9640,2174,9946,2156,899,2114,9330,2038,9877,4155,1070,4143,1159,746,1159,9146,2668,9539,753
uce-3911564,10622,6033,10195,2139,1858,2150,9249,4633,7095,4150,2218,4027,1158,1095,1158,9808,4847,9157,1027
uce-3911582,15594,5953,15774,2044,1046,1993,18983,6553,12756,3915,2225,3733,967,559,960,8878,4286,8802,733
uce-3911604,10738,5540,11057,2110,1877,1998,11889,683,11994,3838,2540,3918,1010,916,1111,9480,6513,9568,934
uce-3911615,17319,6594,17193,2059,991,2085,34243,11582,33523,3768,1964,3584,908,460,1081,8398,3120,8802,1790
uce-3911619,17544,10639,17930,2000,1726,2108,24885,12781,19434,3699,3028,4077,1084,1167,1108,8878,6385,9348,1064
uce-3911645,16473,5299,17432,1350,1110,1508,34961,10479,34708,2595,1780,2977,1097,522,1038,7993,3982,7499,1086
uce-3911676,12786,6944,10354,2159,1788,2159,12951,7645,11303,3905,2682,3902,1159,868,1159,10060,5646,9297,1615
uce-3911684,18234,9359,18569,2009,1388,1824,21739,11099,20610,4063,2627,3846,931,641,935,9340,4999,9080,1048
uce-3911703,18379,5952,17083,1928,1907,1862,31926,8286,28990,3943,2643,3711,1036,1044,1035,9505,4154,9582,1760
uce-3911707,5617,3200,5156,1971,1472,2113,5475,2061,5071,3921,1607,4113,1023,786,933,5574,2663,4968,869
uce-3911726,18439,10691,19214,2155,1650,2158,36087,22806,36344,3764,2909,4038,1157,842,1158,9572,7087,9966,571
uce-3911752,17838,4797,18839,2092,1131,2103,34485,8317,34545,3756,1841,3981,1096,731,1103,8674,2763,9626,798
uce-3911811,17367,7783,18373,1916,948,2108,32459,14226,34937,3615,1179,3889,1055,496,1097,9607,3105,9422,1037
uce-3911817,13877,6689,14560,1932,1252,2096,24713,12153,20208,3929,3112,4041,932,1072,1091,8931,4148,9675,1241
uce-3911820,16486,10094,15731,1583,1463,1709,30878,17148,29339,3735,2080,4042,866,604,833,8838,4855,9749,1302
uce-3911860,8007,2586,4640,2204,1111,2204,7916,2618,5361,3001,2622,3791,1204,640,1175,7505,2826,4701,1357
uce-391187,5266,513,4848,1971,1049,1958,4008,476,3907,3896,2145,3834,1100,553,1100,5093,1470,4890,1226
uce-3911883,17556,9716,17531,2132,1485,2134,21484,8405,17082,4124,2804,4120,1145,951,1149,9588,5744,9622,1568
uce-3911888,14776,6721,15682,2088,1171,2112,18233,3755,15957,4065,2796,3789,908,679,788,9337,5205,8855,1622
uce-3911889,16455,7766,18665,2079,1139,2037,33425,20047,37764,3765,1794,3828,607,776,1087,9343,3690,9612,2921
uce-43,12934,4939,13404,1821,943,1991,15033,4996,14436,2759,1093,3843,1006,518,1044,8443,2979,9145,1002
uce-442,17433,9138,19154,2145,732,2155,28207,16538,32675,4145,1617,4155,1156,513,1156,8718,2230,9831,1630
uce-487,15305,9914,18300,1968,628,2062,31372,17643,35028,3528,1633,3961,1144,461,1155,7167,4202,9582,1798
uce-50,19798,9599,19828,2119,1840,2117,33382,14099,31812,4116,3699,4117,1119,947,1114,9990,6306,9988,1054
uce-538,9777,4452,9023,2025,1214,1130,9314,5551,9151,3764,2502,3164,706,521,702,8988,4061,8286,1575
uce-540,19433,4288,19930,2155,620,2157,38930,8639,38998,4094,1168,3952,1158,459,1159,9923,2371,10069,1238
uce-579,8039,3295,9660,1472,1545,1692,6439,2795,8470,3231,3020,3520,486,905,635,7058,4321,8492,2919
uce-58,12880,5907,16837,1786,1293,1524,30284,13539,34459,3698,1855,3624,1073,690,1086,9033,3986,8263,1391
uce-600,17999,6743,18205,1729,1563,1817,36575,14938,36806,3620,2526,3487,802,796,878,9358,3710,9239,2493
uce-625,5803,2152,5317,1608,994,1733,6266,4512,5411,3457,2271,3823,734,609,727,6099,2531,5588,1222
uce-632,16244,4697,16380,1818,1191,1773,32391,9614,32949,3480,2025,3669,866,889,876,8817,3743,8172,3122
uce-640,18744,9594,18163,1241,1685,1281,36012,11831,34972,3108,3109,3153,663,781,682,9349,6639,10100,1818
uce-650,13246,8319,13233,1690,1337,1743,17980,16805,19416,3907,2021,3227,982,816,934,8011,4617,7431,598
uce-652,19238,7499,19187,1689,1207,1988,37844,13065,37230,3687,1750,4022,1114,657,1119,9546,3492,9520,1716
uce-653,15121,6557,17109,1682,1109,1439,5996,2505,4800,3494,1478,2700,779,634,690,8203,3677,9446,1452
uce-679,17770,7472,17757,2081,1051,2102,36106,13850,35945,3957,2460,3908,1135,506,1158,9025,4792,8722,1729
uce-721,2756,2407,6166,2148,1509,2127,5420,3427,5798,4121,3269,4060,1148,827,1137,5523,3976,5921,542
uce-753,4576,3045,4600,2034,1939,2101,3484,1541,2686,3882,3210,4101,847,1032,1103,4444,2691,4550,483
uce-773,6334,3338,6641,1811,938,1732,3179,3235,4491,3468,2035,3122,1010,608,1006,5790,4219,5731,1222
uce-8,15660,7141,16137,1437,1296,1821,34581,13482,34234,3058,2114,3513,797,718,618,9194,4813,8933,1562
uce-816,5875,4869,5882,2156,1980,2156,3994,1700,4326,4156,2803,4156,1134,1021,1134,5887,4346,5887,799
uce-819,16923,8982,18738,2154,1327,2157,33356,18661,34412,3613,2435,3889,1154,1056,1157,8347,4902,9333,1833
uce-851,17418,6437,13863,2152,1383,2157,17728,7657,20214,4136,2116,4150,1156,932,1157,9060,3782,9604,1444
uce-860,17912,7149,17680,1995,1406,1985,33741,14380,34410,3809,2536,3644,1133,608,1134,9075,3852,8381,1199
uce-89,8657,2405,9339,1948,1406,2119,9163,4983,7998,3445,2185,4119,1111,765,1119,8935,3504,9500,522
uce-890,14041,5844,15802,2078,1771,2078,25153,12262,25703,3707,2983,3763,1119,777,1119,8731,4474,8458,1105
uce-91,8378,4102,9572,2087,1104,2106,4889,1962,9671,4087,1908,4047,1104,898,1106,8009,3446,9305,1104
uce-948,7763,2930,8341,1769,823,1605,10038,3026,8791,3420,1544,3475,834,800,1036,7581,2702,8350,2591
uce-952,8120,8128,7812,1922,1400,2148,8495,16830,6899,3335,2158,4077,952,684,1159,8207,5132,7903,1734
uce-970,11957,8759,13392,2159,1299,2138,8311,8153,13030,3702,2074,3943,1159,814,1159,9825,5562,10026,685
uce-9901095,13524,5973,14133,1887,1317,1890,11245,7731,12010,3434,1784,3757,1019,604,798,8653,3074,9375,1052
uce-9901217,14319,9925,16626,1066,1366,1886,28395,14868,30640,2028,2641,3869,685,654,1059,8644,5335,9182,598
uce-9901241,6187,4147,6921,2157,1475,2159,6154,2806,5683,4105,1643,4159,1112,738,1159,7186,2264,7047,1003
uce-9901308,5373,2447,4138,1367,1709,1038,5290,2883,3886,3104,2245,3318,822,1020,832,4546,1759,5000,1438
uce-990136,18302,6109,13231,2036,1092,2099,32528,10494,26206,4051,1504,3637,1118,502,1119,9322,3958,6299,2612
uce-9901442,17482,7062,17084,1203,1041,1065,35208,12921,34470,3588,2112,3532,664,763,615,9194,3735,9132,1135
uce-9901447,14311,8054,14466,1422,1354,2121,14596,10090,13633,3206,2665,4119,921,715,1103,8231,4780,9053,2063
uce-9901451,15979,7386,16788,1915,1106,2066,31560,15007,31599,3897,2068,4064,1153,771,933,8380,3382,9573,1295
uce-9901461,17786,12081,17700,2157,1345,2156,28525,19344,29477,4152,2874,4156,1157,647,1158,9335,5891,9241,1312
uce-990149,15910,9269,16889,1562,1265,2077,32907,15484,34547,3970,2563,3910,689,808,1010,7435,4914,7421,539
uce-9901490,19515,12700,19763,2152,1507,2147,25050,15887,28400,4146,2981,4135,1158,777,1147,10063,7231,9999,632
uce-9901517,15918,8153,18265,2041,1140,2041,31375,12463,32485,3451,1968,3793,968,646,1003,9142,4870,9498,3406
uce-9901548,15905,7018,16377,1999,1433,2007,28494,17871,31703,3345,1933,3355,1140,898,1147,8590,4447,8823,1920
uce-9901549,13528,7088,17079,2003,1431,2016,13420,6579,19642,3578,2282,3730,1148,845,1149,9329,4862,9461,946
uce-9901553,16532,8040,16608,1402,1087,1742,32834,16235,31700,3575,2057,3913,811,606,810,8358,4174,9093,1540
uce-9901622,15844,5908,15832,1830,1176,2159,26326,13991,29172,4027,1643,4159,1080,663,1159,9417,3481,8579,1380
uce-9901635,18030,8554,19220,1959,1445,2133,35419,12247,36366,3800,2958,3904,964,571,1134,9432,5502,9563,2619
uce-9901680,18285,8986,19015,1979,1148,2054,33454,15121,36914,3866,2432,4044,1125,703,1159,9876,5472,9567,1102
uce-9901736,2449,3743,2712,2095,1464,2154,2389,2654,2358,2670,2687,2736,1111,897,1122,2687,1149,2062,696
uce-99021914,11781,2983,11115,1898,859,1887,4586,1086,759,4021,1788,3152,1029,515,949,9273,3848,8745,1059
uce-99021920,2452,1882,4834,1722,941,1348,2215,1315,3498,2929,1391,2557,1107,723,944,3251,1738,4903,2138
uce-990240,17925,6531,19542,2159,886,2156,32193,11493,35355,4158,2047,4154,1159,565,1159,9383,4095,10128,1270
uce-99027607,10008,9712,8718,1919,1868,2071,9880,5736,6614,3705,3783,3816,1097,1080,1119,8208,6451,9281,1361
uce-990284045,17026,5548,18607,1808,848,1774,21880,4710,33200,3390,1629,3924,1103,710,1139,9152,3979,9437,2615
uce-990286523,17629,4668,17475,2114,916,2114,33284,9317,35299,4113,1055,4114,1114,572,1090,9621,2042,8451,814
uce-990288240,17984,5395,17587,1760,1135,1926,26093,12347,26192,3888,1545,3914,944,628,935,9342,4047,9206,1255
uce-990289158,16092,6555,16374,1264,1104,1901,28311,10357,33725,2648,2049,3599,861,701,1018,8366,4200,8468,3008
uce-990291004,17871,5853,17660,2040,1045,2056,32452,10549,33561,3870,1767,3984,1119,743,1071,9204,3850,8989,841
uce-990291030,18094,8219,16395,2087,1304,2045,35376,15322,32427,4085,2145,4065,1159,820,1083,8483,5013,8177,616
uce-99029107,19768,8480,18732,2155,1810,2027,26730,14591,29051,4125,2614,4130,1038,896,988,9479,4288,9554,823
uce-990291075,16361,7348,14928,2115,1457,2115,15182,5339,14014,3881,2780,3799,1115,699,1115,9039,5538,8411,2321
uce-990291152,9742,6603,9652,1690,1528,1633,11610,7072,10501,3491,2198,3138,625,857,951,7861,4414,8400,1871
uce-990291255,8922,4158,12059,2046,536,2089,11565,3589,12892,3625,1482,3589,1101,540,1106,9230,1579,9377,766
uce-990291261,14294,7943,18833,1947,1239,2113,29205,13053,36278,3730,2985,3743,993,665,1155,7719,4651,9334,1004
uce-990291424,11274,5794,10548,1412,899,1088,12913,3746,12635,3515,1852,3775,758,581,763,8691,4163,9099,1272
uce-990291493,8686,4429,9392,2141,860,2141,8040,1955,8920,4109,1970,3932,1141,606,1141,8776,3644,9144,1777
uce-990291584,17689,8524,16510,1581,1278,1388,32807,14164,32756,3704,2448,3587,800,647,807,9506,4221,8362,1847
uce-990291600,18519,4286,17621,1688,881,1630,23588,5274,25167,3696,1087,3914,971,512,946,9221,3289,8991,1493
uce-990291657,13119,8078,17139,1891,1854,1894,18173,10402,19092,3732,3021,3349,822,871,1159,9222,5663,9204,1102
uce-990291683,18035,5875,14357,1894,1610,2007,18833,4064,14172,3600,2834,3642,839,867,1155,9406,3728,8258,2253
uce-990291828,9182,3033,10102,1921,803,1934,8226,2491,9774,4048,1502,4064,1086,713,1089,7776,3864,8548,941
uce-99029192,18205,8508,18581,1830,1078,1760,34080,12494,37178,3729,1866,3941,1154,709,1159,9002,4480,9201,723
